ID,TENANT_ID,FOR_DESCRIPTION,FROM_DATE,TO_DATE,AMOUNT,DUE_DATE,CREATED_ON,UPDATED_ON
368,1DCBC80A-5909-49D1-B8A7-767D73FAFA8C,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
369,80BDCAD6-EF88-4770-AB96-ADA546668DBA,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
370,B9E338EA-6F4B-4CFF-9712-4B83A299E405,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
371,057DB3BD-B64F-44E2-ABE4-AE5B565B77AF,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
372,01CC8092-3CC7-4C0A-A62D-331DFA927CB4,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
373,65227C3C-1124-4F3A-BE36-86E9B20FF81B,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
374,CCD8E7D5-3643-4713-ACC9-A17C5889AE11,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
375,7A143B61-8281-4BF4-ABCE-359802BE4332,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
376,F1D3E94B-DBDD-4C08-938C-59BEA6B3DFA6,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
377,EE021E15-E685-4768-B409-97DA2505BC3B,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
378,3196F0FE-01CE-421C-83E9-B3A195A415F6,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
379,CABE7321-EAA6-4072-9B3D-F5556A4706DF,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
380,FEB673E4-3A4F-45BB-9CD9-AB6B57D977B4,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
381,163ACE12-22B5-4733-B98C-1D4441247CCE,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
382,67799C59-9CFC-4977-B34C-C5A27B31B5E8,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
383,3D307954-8DBE-4034-B1B8-F2EB046F38C6,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
384,213EA6D2-6DD5-42F9-B67D-83CB76384CDC,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
385,BFA40CC9-2B9F-4E77-8E78-9D6F4802EA4B,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
386,8BE6E2AA-261D-445A-85E7-AF9E0C16879F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
387,E198652E-2068-43CE-9A82-F1C0F9411BB2,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
388,D7208AB9-BF74-4539-84FA-FE7AFB7CD678,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
389,698F2207-8FA3-4D80-B643-9046F17E9F0A,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
390,F8F25EFD-39C6-4450-BACF-BAC7764A840A,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
391,D7F0D298-DDB1-4379-9488-255314F9A686,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
392,8506C776-DCBD-4D73-AC26-E1701676D498,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
393,BA9CCCCD-F142-4642-9255-BCBDE276B675,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
394,E3410BFF-1382-41FD-99CE-C50C037FE6DA,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
395,85F962B6-32F5-4501-9FE9-1F725D37040D,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
396,77488523-0544-45D4-9733-3380B48ADDB9,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
397,40AB16E3-FBF1-4176-AE6A-CBA9D8F2D8E6,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
398,9C2A2ADE-57F9-4C32-BBAD-3FD774646EF4,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
399,EAE68816-0356-41F3-A806-BC306FF997AF,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
400,E711E232-573E-497D-9565-D23C96F9E8DA,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
401,06073EFF-7924-4F01-B561-348B85499717,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
402,53C76767-669C-4B5F-A20B-54D613A24E24,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
403,AB2BFB83-C11E-4277-B468-EB9027B3B18A,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
404,CA507A39-DE1D-47EF-BF0D-D77F68711482,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
410,C0DCBA1C-2662-49AC-8773-C6336B28245F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
411,DF64FB6D-83BF-49AE-A244-001FFD87F9BE,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
412,56D39DE1-49E4-4A10-8215-AFBE3FB0C32A,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
413,E3E0F511-9991-43F9-B1A8-E3342C1686C1,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
414,A7CC9E9E-90F1-4FEA-9556-0E172841A646,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
415,DC92D5BE-C46F-478E-8799-B33FAF40D583,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
416,D099F92E-FD9B-4254-8DF9-39035CE8AD8F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
417,0CFE0ECB-FC16-4A65-9BF1-681C25359317,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
418,E0B4179E-1CB7-4D96-BEDD-C504A375ADD9,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
419,B9960A25-7F15-4304-9DA5-126847F381C1,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
420,10EC80D8-69C3-43E2-A796-6C178B3186C4,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
421,4CAD2666-8D2F-4D62-A554-F2C19496D087,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
422,76FDB3C3-024C-4C37-98E1-587631D9F0DC,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
423,8956479F-EBD3-4D93-A762-BC654BD4F5D9,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
424,B36DA61C-FAC8-4F54-8830-D90608EDEA5F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
425,2443B867-9636-4F81-8EB1-CF7091690410,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
426,51A8A594-86B0-4C5D-A4C2-A40DFD1B19BB,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
427,2EC1FBC9-46B8-4B88-BA6C-9A878D4DBA56,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
428,36A23963-498D-4C7D-8C41-8082F4003636,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
429,83AEC2EF-E15D-422C-9D05-BDCF5A260215,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
430,AD19B994-506E-43D2-A7C1-CFF692A00680,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
431,EF04F250-6C1D-43AA-AF5B-4B92A407B929,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
432,4AFC1318-D5D5-467A-8F1E-C86AC9B7ECB6,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
433,AD5F1E23-8261-4676-930D-07C3A10870F2,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
434,C2D43DF8-8BCC-4108-8DD7-9D8598A8792F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
435,120E5783-3F01-4825-9F72-11A819477ED1,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
436,042B3C43-238F-4CF4-AA74-1F2644EC85D5,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
437,5D3592E8-F6EC-436A-9A73-1F9C915C5C05,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
438,596F1F39-3B49-4889-99F5-7584FECAAD22,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
439,8955DF30-D2B5-4D1D-B5B6-9FBC6E722523,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
440,8E6063C7-33D8-4F66-93AA-F54DEFEA4E79,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
441,79A91BFB-C960-45F7-9CB8-02F9F7AAA617,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
442,53546231-26C2-4A11-A48B-05AA199A04EE,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
443,80EE65F7-957C-4661-9806-D8F2AC915DAF,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
444,9D726BD8-DCF0-4716-BD13-FF1CE53F6403,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
445,2A675254-4C8C-4670-A59A-9F2F0D62D5B9,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
446,1F76BE46-5747-4BB3-ABA1-B70083A18C0B,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
447,EA83D0E4-DF62-4BFC-807C-CB3DA4D1066F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
448,76095620-D34B-4BC2-B310-4363D72F1450,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
449,10B968E7-303D-40EC-8949-29CDBA95AFF4,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
450,10BCC6D3-E556-490F-B3D5-428EA7731E45,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
451,DE83F39C-974F-4A48-A562-0E363705F21C,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
452,92686F2A-526A-4008-99A9-1118A3F10D8B,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
453,0510A15B-E068-498F-82FB-B4B56C769EE7,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
454,7130395E-5291-4C61-B833-FB169B4748E6,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
455,07DE0D84-9481-429E-90AD-AD0703E4FF2D,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
456,12ACD334-F37A-4D84-8425-0C2E2E59EC36,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
457,49AA8F02-B8D6-4F1A-8DE0-8C6310D8B183,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
458,D045C75F-7DF2-4542-A4C5-6A90FBFE5226,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
459,B8EE3D89-59FC-4812-84AA-5F15830EEEEE,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
460,B9A240AF-985B-4AFA-851D-79A106F05AEF,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
461,27FC1288-D45E-46EE-93C1-E3A8EB07F241,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
462,D78A2727-BA30-40C0-9B7A-B384340EE7DC,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
463,0334F44B-A71B-4A4B-AA0D-3D3F43123117,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
464,B09D32CD-2A1B-4A63-AC9A-FEFC5F33B332,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
465,3614E850-6B22-4DBC-BBDC-198CECEDF1F5,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
466,BC4BB8B4-1EFD-4268-8070-FB79F7390150,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
467,C5A7A58B-476E-4DE3-8B04-8496217C4726,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
468,6405D7C1-A28A-4270-AB39-4A0D8F9A1C39,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
469,65ED514E-6421-47A3-8E86-BF4D766E4853,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
470,2FEBE5FD-49D2-4566-B8D1-4C557F319F49,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
471,B129655C-FD9F-40E4-9993-00F1C1694579,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
472,FA9903EF-5C22-494B-8C0F-3641B88C79DA,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
473,F2C597F3-788E-4159-85CA-41878EF630FD,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
474,26EFCDFA-A066-4B52-AEB4-A5F2EB304D03,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
475,BADA788F-7867-4D9F-B9AA-D7305F2D830B,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
476,421CB57D-4D01-4E7D-892B-491186462482,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
477,A3BB5B6F-C550-4511-8B8D-9C0AFA18687F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
478,383795D3-4C30-4EE5-8E23-23E33CEC3B7A,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
479,7172E4A7-D727-438E-9C8D-97FC8FD4BFE7,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
480,E4B984BA-618F-4C1E-9EAC-8EB7A6B86884,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
481,9E82F387-0F76-471C-8DEB-9067976A769B,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
482,14AE5195-02FD-4E0A-BE0D-F2A10F630FB8,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
483,ABAB8D58-4192-4FC3-926F-DECF2E028A4E,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
484,09F11309-623D-4A0E-96AA-547912321F11,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
485,57C16D9B-E572-427D-AA4C-8A620CF4058E,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
486,AE05B6B1-E01E-43C7-8541-4CF297808F6F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
487,260B58ED-F210-4F22-B1DB-5CE4D036D56E,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
488,76667F21-0808-4A22-8AD8-97CF10DBFA2D,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
489,80F06FE1-B5B5-48B8-B916-8B4C619FF8A1,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
490,8BB19C30-5FFC-4D1E-9DF1-424E4D466D1D,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
491,F4D05252-2C75-498F-AA66-DBDE9B3F064F,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
492,6D9DC189-CBDB-4194-8F60-4E6C3D5E5D7C,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
493,28726F42-B86B-4320-93F9-BFD905826443,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
494,D60C0921-0DE6-4BC8-8AB1-EE670575273A,Tax Collection Under Maharashtra Land Revenue Code 1966.,00:00.0,00:00.0,2180,00:00.0,00:00.0,NULL
